code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2024-04-30,2024-03-31,0.040816,0.021555,0.093498,0.117647,0.100436
sh.600004,2024-04-27,2024-03-31,0.032223,-0.012523,2.889943,3.000000,3.194392
sh.600006,2024-04-30,2024-03-31,0.019051,0.079439,0.393556,0.466527,0.465137
sh.600000,2024-04-30,2024-03-31,0.040816,0.021555,0.093498,0.117647,0.100436
sh.600004,2024-04-27,2024-03-31,0.032223,-0.012523,2.889943,3.000000,3.194392
sh.600006,2024-04-30,2024-03-31,0.019051,0.079439,0.393556,0.466527,0.465137
sh.600000,2024-04-30,2024-03-31,0.040816,0.021555,0.093498,0.117647,0.100436
sh.600004,2024-04-27,2024-03-31,0.032223,-0.012523,2.889943,3.000000,3.194392
sh.600006,2024-04-30,2024-03-31,0.019051,0.079439,0.393556,0.466527,0.465137
